hashtag,degree_centrality,betweenness_centrality,pagerank,community,frequency
fyp,0.9534883720930233,0.046511627906976744,0.10779768327634054,1,529
foryou,0.8837209302325582,0.1244001476559616,0.07408906149005355,1,319
viral,0.7906976744186046,0.05500184569952012,0.0694936064937363,1,251
funny,0.7441860465116279,0.0,0.06556818044998583,3,211
foryoupage,0.7441860465116279,0.04115909929863418,0.060985033662294956,1,227
comedy,0.6744186046511628,0.006459948320413437,0.04473141836077219,0,148
tiktok,0.6511627906976745,0.014765596160944996,0.04467525271419933,0,147
love,0.4883720930232558,0.0,0.02967014065755294,0,74
memes,0.5116279069767442,0.0,0.029129956957149865,0,76
follow,0.46511627906976744,0.0,0.02884041583814214,0,65
trending,0.6046511627906976,0.12919896640826872,0.02582159908571001,1,86
music,0.5116279069767442,0.018826135105204873,0.024740867507472755,0,58
fun,0.5581395348837209,0.009413067552602433,0.023086957504761696,0,53
happy,0.4883720930232558,0.017718715393133997,0.022230669664868943,0,52
fypシ,0.41860465116279066,0.019748984865263934,0.020102551622955316,1,98
tiktok4fun,0.4418604651162791,0.0,0.02001125707685751,0,35
meme,0.4418604651162791,0.05998523440383905,0.019305940940792143,3,71
bestvideo,0.46511627906976744,0.0033222591362126247,0.01887377240714963,0,40
cute,0.4418604651162791,0.0,0.018805171775542206,0,33
like,0.46511627906976744,0.10446659283868585,0.017241447772457657,0,49
fashion,0.4418604651162791,0.017718715393133997,0.016634709065635266,0,39
xyzbca,0.32558139534883723,0.033776301218161685,0.01600655795844086,1,56
loveyoutiktok,0.46511627906976744,0.030454042081949056,0.015970793105869976,0,31
trend,0.3488372093023256,0.06312292358803986,0.01570797119169475,1,56
lol,0.3023255813953488,0.018641565153193058,0.013778028528249567,3,51
funnyvideos,0.3023255813953488,0.013289036544850499,0.013332265865552684,3,50
animals,0.27906976744186046,0.022332964193429308,0.012312949328120562,3,37
dog,0.3023255813953488,0.027131782945736437,0.01212496207957666,3,32
cat,0.2558139534883721,0.03728313030638612,0.011766333741096917,3,38
fy,0.2558139534883721,0.018087855297157625,0.011635827504999828,1,37
humor,0.20930232558139533,0.0047988187523071235,0.009580019743306356,1,37
prank,0.23255813953488372,0.03765227021040973,0.00954523974056255,1,56
workout,0.11627906976744186,0.04318936877076412,0.009509971170824609,2,43
gym,0.09302325581395349,0.0011074197120708748,0.009185421735941095,2,35
laugh,0.2558139534883721,0.048172757475083046,0.009064797442575342,3,34
fitness,0.09302325581395349,0.007751937984496124,0.008312704598975054,2,31
cooking,0.06976744186046512,0.0,0.00639622506805231,1,34
singing,0.11627906976744186,0.005906238464377999,0.006135870729934887,1,35
asmr,0.06976744186046512,0.0,0.005929373578604987,1,36
art,0.09302325581395349,0.014027316352897747,0.00568966724051692,1,38
dance,0.06976744186046512,0.0,0.0050898943246470065,1,36
learnontiktok,0.023255813953488372,0.0,0.00399723241646589,1,30
x200b,0.0,0.0,0.0035460992907801426,4,33
submissions,0.0,0.0,0.0035460992907801426,5,33
